expression,result,created_at
3 4 +,7.0,2025-03-30 02:46:27.984189
3 4 +,7.0,2025-03-30 02:49:33.695792
3 4 +,7.0,2025-03-30 02:52:00.502279
3 4 +,7.0,2025-03-30 02:53:03.344828
3 4 +,7.0,2025-03-30 02:55:02.345298
3 4 +,7.0,2025-03-30 02:57:20.538262
3 4 +,7.0,2025-03-30 02:57:40.222471
3 4 +,7.0,2025-03-30 02:59:12.361742
3 4 +,7.0,2025-03-30 02:59:47.531447
3 4 +,7.0,2025-03-30 03:02:58.235320
3 4 +,7.0,2025-03-30 03:04:45.854816
3 4 +,7.0,2025-03-30 03:05:55.643165
3 4 +,7.0,2025-03-30 03:06:05.572786
3 4 +,7.0,2025-03-30 03:11:58.336106
3 4 +,7.0,2025-03-30 03:13:02.755793
